iter	Passed	Remaining
0	136	136717
1	137	68570
2	137	45847
3	138	34475
4	138	27654
5	139	23103
6	140	19861
7	140	17425
8	141	15528
9	141	14007
10	141	12766
11	142	11729
12	142	10851
13	143	10099
14	143	9446
15	144	8875
16	144	8371
17	145	7922
18	145	7524
19	146	7164
20	146	6837
21	147	6540
22	147	6268
23	148	6039
24	149	5812
25	149	5601
26	149	5404
27	150	5221
28	150	5053
29	151	4896
30	152	4751
31	152	4613
32	153	4483
33	153	4360
34	153	4243
35	154	4133
36	154	4029
37	155	3931
38	155	3838
39	156	3749
40	156	3664
41	157	3585
42	157	3511
43	158	3438
44	158	3367
45	159	3301
46	159	3236
47	160	3175
48	160	3119
49	161	3064
50	161	3012
51	163	2972
52	164	2935
53	164	2888
54	165	2841
55	165	2796
56	166	2752
57	166	2710
58	167	2669
59	167	2630
60	168	2591
61	168	2553
62	169	2518
63	169	2484
64	170	2452
65	171	2430
66	172	2399
67	172	2369
68	173	2339
69	173	2311
70	174	2283
71	175	2257
72	175	2234
73	177	2214
74	177	2190
75	178	2166
76	178	2141
77	179	2118
78	179	2094
79	180	2071
80	180	2049
81	181	2027
82	181	2003
83	181	1983
84	182	1963
85	182	1943
86	183	1924
87	183	1905
88	184	1887
89	184	1868
90	185	1850
91	185	1833
92	186	1816
93	186	1800
94	187	1783
95	187	1767
96	188	1752
97	188	1737
98	189	1722
99	189	1707
100	190	1693
101	190	1679
102	191	1665
103	191	1651
104	192	1638
105	192	1624
106	193	1611
107	193	1598
108	194	1586
109	194	1574
110	195	1562
111	195	1551
112	196	1539
113	196	1527
114	197	1516
115	197	1504
116	197	1493
117	198	1482
118	198	1471
119	199	1461
120	199	1450
121	200	1440
122	200	1430
123	201	1421
124	201	1412
125	202	1403
126	202	1393
127	203	1384
128	203	1375
129	204	1366
130	204	1357
131	205	1349
132	205	1340
133	206	1331
134	206	1323
135	207	1315
136	207	1307
137	208	1300
138	208	1292
139	209	1284
140	209	1277
141	209	1268
142	210	1261
143	210	1253
144	211	1246
145	211	1239
146	212	1232
147	213	1226
148	213	1219
149	214	1213
150	214	1206
151	215	1199
152	215	1193
153	216	1187
154	216	1180
155	217	1174
156	217	1167
157	217	1161
158	218	1155
159	219	1152
160	219	1145
161	220	1139
162	220	1133
163	221	1128
164	221	1122
165	222	1116
166	222	1110
167	223	1105
168	223	1099
169	224	1094
170	224	1088
171	225	1083
172	225	1079
173	226	1074
174	226	1068
175	227	1063
176	227	1058
177	228	1053
178	228	1048
179	229	1043
180	229	1039
181	230	1034
182	230	1030
183	231	1026
184	232	1022
185	232	1018
186	233	1013
187	233	1009
188	234	1004
189	234	1000
190	235	996
191	235	992
192	236	987
193	236	983
194	237	979
195	237	975
196	238	971
197	238	967
198	239	964
199	239	959
200	240	955
201	240	951
202	241	947
203	241	943
204	242	939
205	242	936
206	243	932
207	243	928
208	244	925
209	244	921
210	245	917
211	245	913
212	246	910
213	246	906
214	247	902
215	247	899
216	248	895
217	248	892
218	249	888
219	249	885
220	250	882
221	250	878
222	251	875
223	251	872
224	252	868
225	252	865
226	253	862
227	253	858
228	254	855
229	254	852
230	255	849
231	255	846
232	256	843
233	256	840
234	257	837
235	258	835
236	259	835
237	259	832
238	260	828
239	260	825
240	261	822
241	261	819
242	262	816
243	262	814
244	263	811
245	263	808
246	264	805
247	264	802
248	265	799
249	265	797
250	266	794
251	266	791
252	267	788
253	267	785
254	268	783
255	268	780
256	269	778
257	269	775
258	270	772
259	270	770
260	271	767
261	271	765
262	272	762
263	272	760
264	273	757
265	273	755
266	274	752
267	274	750
268	275	747
269	275	745
270	276	742
271	276	740
272	277	737
273	277	735
274	278	733
275	278	730
276	278	728
277	279	725
278	279	723
279	280	721
280	281	719
281	281	716
282	282	714
283	282	712
284	283	710
285	283	707
286	283	705
287	284	703
288	285	701
289	285	699
290	286	697
291	287	696
292	287	694
293	288	692
294	288	690
295	289	688
296	289	685
297	290	683
298	290	681
299	291	679
300	291	677
301	292	675
302	292	673
303	293	671
304	293	669
305	294	667
306	294	665
307	295	663
308	295	661
309	296	659
310	296	657
311	297	655
312	297	653
313	298	651
314	298	649
315	299	648
316	299	646
317	300	644
318	300	642
319	301	640
320	301	638
321	302	636
322	302	635
323	303	633
324	303	631
325	304	629
326	305	627
327	305	626
328	306	624
329	306	622
330	307	620
331	307	618
332	307	616
333	308	614
334	308	613
335	309	611
336	309	609
337	310	607
338	310	606
339	311	604
340	312	603
341	312	601
342	313	599
343	313	597
344	313	596
345	314	594
346	314	592
347	315	590
348	315	589
349	316	587
350	316	585
351	317	584
352	317	582
353	318	581
354	319	580
355	319	578
356	320	576
357	320	575
358	321	573
359	321	572
360	322	570
361	322	568
362	323	567
363	323	565
364	324	564
365	324	562
366	325	561
367	325	559
368	326	558
369	326	556
370	327	555
371	327	553
372	328	551
373	328	550
374	329	548
375	329	547
376	330	545
377	330	544
378	331	542
379	331	541
380	332	539
381	332	538
382	333	536
383	333	535
384	334	533
385	334	532
386	335	530
387	335	529
388	336	528
389	336	526
390	337	525
391	337	523
392	338	522
393	338	520
394	339	519
395	339	518
396	340	516
397	341	516
398	341	514
399	342	513
400	342	512
401	343	510
402	343	509
403	344	507
404	344	506
405	345	504
406	345	503
407	346	502
408	346	500
409	346	499
410	347	497
411	347	496
412	348	495
413	349	494
414	349	493
415	350	491
416	350	490
417	351	489
418	351	487
419	352	486
420	352	485
421	353	484
422	354	482
423	354	481
424	355	480
425	355	479
426	356	477
427	356	476
428	357	475
429	357	473
430	358	472
431	358	471
432	359	470
433	359	468
434	359	467
435	360	466
436	361	465
437	361	463
438	361	462
439	362	461
440	362	460
441	363	458
442	363	457
443	364	456
444	364	454
445	365	453
446	365	452
447	366	451
448	366	450
449	367	448
450	367	447
451	368	446
452	369	445
453	369	444
454	370	443
455	370	442
456	371	441
457	372	440
458	372	439
459	373	438
460	374	437
461	374	436
462	375	435
463	376	434
464	376	433
465	377	432
466	377	431
467	378	430
468	379	429
469	380	428
470	380	427
471	381	426
472	381	425
473	382	424
474	382	422
475	383	421
476	383	420
477	383	419
478	384	418
479	384	417
480	385	416
481	386	414
482	386	413
483	387	412
484	387	411
485	387	410
486	388	409
487	388	408
488	389	406
489	389	405
490	390	404
491	390	403
492	391	402
493	391	401
494	392	400
495	392	399
496	393	397
497	393	396
498	394	395
499	394	394
500	395	393
501	395	392
502	396	391
503	396	390
504	397	389
505	397	388
506	398	387
507	398	386
508	399	385
509	399	384
510	400	382
511	400	381
512	401	380
513	401	379
514	402	378
515	402	377
516	403	376
517	403	375
518	404	374
519	404	373
520	405	372
521	405	371
522	406	370
523	406	369
524	407	368
525	407	367
526	408	366
527	408	365
528	409	364
529	410	363
530	410	362
531	411	361
532	411	360
533	412	359
534	412	358
535	413	357
536	413	356
537	413	355
538	414	354
539	414	353
540	415	352
541	415	351
542	416	350
543	416	349
544	417	348
545	417	347
546	418	346
547	418	345
548	419	344
549	419	343
550	420	342
551	420	341
552	421	340
553	421	339
554	422	338
555	422	337
556	423	336
557	423	335
558	424	334
559	424	333
560	425	332
561	425	331
562	426	330
563	426	329
564	426	328
565	427	327
566	427	326
567	428	325
568	428	324
569	429	323
570	429	323
571	430	322
572	430	321
573	431	320
574	431	319
575	432	318
576	432	317
577	433	316
578	433	315
579	434	314
580	434	313
581	435	312
582	435	311
583	436	310
584	436	309
585	437	308
586	437	307
587	438	307
588	438	306
589	439	305
590	439	304
591	440	303
592	440	302
593	441	301
594	441	300
595	442	299
596	442	298
597	443	297
598	443	296
599	444	296
600	444	295
601	445	294
602	445	293
603	445	292
604	446	291
605	446	290
606	447	289
607	447	288
608	448	287
609	448	286
610	449	286
611	449	285
612	450	284
613	450	283
614	451	282
615	451	281
616	452	280
617	452	279
618	453	278
619	453	278
620	454	277
621	454	276
622	455	275
623	455	274
624	456	273
625	456	272
626	457	271
627	457	271
628	458	270
629	458	269
630	459	268
631	459	267
632	459	266
633	460	265
634	460	264
635	461	264
636	461	263
637	462	262
638	462	261
639	463	260
640	463	259
641	464	258
642	464	257
643	465	257
644	465	256
645	466	255
646	466	254
647	467	253
648	467	252
649	468	252
650	468	251
651	468	250
652	469	249
653	469	248
654	470	247
655	470	246
656	471	246
657	471	245
658	472	244
659	472	243
660	473	242
661	473	241
662	474	241
663	474	240
664	475	239
665	475	238
666	476	237
667	476	236
668	477	236
669	477	235
670	478	234
671	478	233
672	479	232
673	479	232
674	480	231
675	480	230
676	481	229
677	481	228
678	482	227
679	482	227
680	483	226
681	483	225
682	484	224
683	484	223
684	485	223
685	485	222
686	486	221
687	486	220
688	486	219
689	487	218
690	487	218
691	488	217
692	488	216
693	489	215
694	489	214
695	490	214
696	490	213
697	491	212
698	491	211
699	492	211
700	493	210
701	493	209
702	494	208
703	494	207
704	495	207
705	495	206
706	496	205
707	497	205
708	497	204
709	498	203
710	498	202
711	499	201
712	499	201
713	500	200
714	500	199
715	501	198
716	501	198
717	502	197
718	502	196
719	503	195
720	503	194
721	504	194
722	504	193
723	505	192
724	506	191
725	506	191
726	507	190
727	507	189
728	508	188
729	508	188
730	509	187
731	509	186
732	510	185
733	510	185
734	511	184
735	511	183
736	512	182
737	512	181
738	513	181
739	513	180
740	514	179
741	514	178
742	515	178
743	515	177
744	516	176
745	516	175
746	517	175
747	518	174
748	518	173
749	519	173
750	520	172
751	521	171
752	521	171
753	522	170
754	522	169
755	523	168
756	523	168
757	524	167
758	524	166
759	525	165
760	525	165
761	526	164
762	526	163
763	527	162
764	527	162
765	528	161
766	528	160
767	529	159
768	529	159
769	530	158
770	530	157
771	531	156
772	531	156
773	532	155
774	533	154
775	534	154
776	534	153
777	535	152
778	535	151
779	536	151
780	536	150
781	537	149
782	537	148
783	538	148
784	538	147
785	539	146
786	539	146
787	540	145
788	540	144
789	541	143
790	541	143
791	542	142
792	542	141
793	543	140
794	543	140
795	544	139
796	544	138
797	545	137
798	545	137
799	546	136
800	546	135
801	547	135
802	547	134
803	547	133
804	548	132
805	548	132
806	549	131
807	549	130
808	550	129
809	550	129
810	551	128
811	551	127
812	552	127
813	552	126
814	553	125
815	553	124
816	554	124
817	554	123
818	555	122
819	555	121
820	556	121
821	556	120
822	557	119
823	557	119
824	558	118
825	558	117
826	559	116
827	559	116
828	560	115
829	560	114
830	561	114
831	561	113
832	562	112
833	562	111
834	562	111
835	563	110
836	564	109
837	564	109
838	565	108
839	565	107
840	566	107
841	566	106
842	566	105
843	567	104
844	567	104
845	568	103
846	568	102
847	569	102
848	570	101
849	570	100
850	571	99
851	571	99
852	571	98
853	572	97
854	573	97
855	573	96
856	573	95
857	574	95
858	574	94
859	575	93
860	575	92
861	576	92
862	576	91
863	577	90
864	577	90
865	578	89
866	578	88
867	579	88
868	579	87
869	580	86
870	580	86
871	581	85
872	581	84
873	582	83
874	582	83
875	583	82
876	583	81
877	584	81
878	584	80
879	585	79
880	585	79
881	586	78
882	586	77
883	587	77
884	587	76
885	588	75
886	589	75
887	589	74
888	590	73
889	590	72
890	591	72
891	591	71
892	592	70
893	592	70
894	593	69
895	594	68
896	594	68
897	595	67
898	595	66
899	596	66
900	596	65
901	597	64
902	597	64
903	598	63
904	598	62
905	599	62
906	599	61
907	599	60
908	600	60
909	601	59
910	601	58
911	602	58
912	602	57
913	603	56
914	603	56
915	604	55
916	604	54
917	605	54
918	605	53
919	606	52
920	606	52
921	607	51
922	608	50
923	608	50
924	609	49
925	609	48
926	610	48
927	610	47
928	611	46
929	611	46
930	612	45
931	612	44
932	613	44
933	613	43
934	614	42
935	614	42
936	615	41
937	615	40
938	616	40
939	616	39
940	617	38
941	617	38
942	618	37
943	618	36
944	620	36
945	621	35
946	621	34
947	622	34
948	622	33
949	623	32
950	623	32
951	624	31
952	624	30
953	625	30
954	625	29
955	626	28
956	626	28
957	627	27
958	627	26
959	628	26
960	628	25
961	629	24
962	629	24
963	630	23
964	630	22
965	631	22
966	631	21
967	632	20
968	632	20
969	633	19
970	633	18
971	634	18
972	634	17
973	635	16
974	635	16
975	636	15
976	636	14
977	637	14
978	637	13
979	638	13
980	638	12
981	639	11
982	639	11
983	640	10
984	640	9
985	641	9
986	641	8
987	642	7
988	642	7
989	643	6
990	643	5
991	644	5
992	644	4
993	645	3
994	645	3
995	646	2
996	646	1
997	646	1
998	647	0
999	648	0
